HP;NR;NR+;NR-;LP
AJET;AA5;AC90;AN28;C525
AMX;AC11;AC95;AN38;C550
AN72;AFOX;AEST;AT8T;C560
ASTR;ALSL;AN12;BE12;C56X
A10;AN2;AN24;BE33;C650
A4;APM4;AN26;BE36;C750
A6;AP22;AN30;BE50;H25B
CL30;AS32;AN32;BE55;H25C
CL35;AS50;ATLA;BE65;BE40
CL60;AS65;ATP;BE95;
C25C;ATL;AT43;BN2T;
C68A;AT5T;AT44;CA41;
C680;A109;AT45;COL3;
ETAR;A119;AT72;COL4;
EUFI;A139;AT73;C10T;
E170;BDOG;A140;C160;
E530;BE19;A400;C205;
E545;BE23;A748;C208;
E55P;BE24;BE10;C210;
E75S;BE35;BE20;C212;
FA10;BE76;BE30;C303;
FA20;BK17;BE58;C310;
FA50;BL8;BE60;C335;
FA7X;BMAN;BE9L;C340;
FA8X;BN2P;BE9T;DA42;
F1;BRAV;BE99;DA62;
F14;BU31;B190;DHC6;
F15;B06;B350;D228;
F16;B105;CN35;EDGE;
F18;B212;CVLT;E110;
F2TH;B222;C130;E121;
F22;B305;C2;E300;
F28;B407;C27J;F406;
F4;B412;C30J;GA7;
F5;CH60;C402;G120;
F5SA;CL2T;C404;LNC2;
F900;CORV;C414;L410;
GALX;COY2;C421;M200;
GA5C;CP10;C425;M22;
GLEX;C120;C441;M28;
GLF2;C150;DHC7;PAT4;
GLF3;C152;DH8A;PAY2;
GLF4;C162;DH8B;PA23;
GLF5;C170;D328;PA24;
GLF6;C172;E120;PA27;
GL5T;C175;E2;PA30;
GL7T;C177;F27;PA31;
G150;C180;F50;PA34;
G250;C182;GLAS;PA46;
G280;C185;G12T;P210;
HAR;C195;G222;P28R;
HAWK;C206;IL18;P28T;
HA4T;C337;JS31;P32R;
LJ31;C72R;JS32;P32T;
LJ35;C77R;JS41;P68;
LJ40;C82R;LNP4;P68T;
LJ45;DA40;MU2;P750;
LJ55;DHC1;M20T;RV6;
LJ60;DH82;NG4;RV7;
L159;DIMO;PAY1;RV8;
L29B;DO27;PAY3;SLK5;
MG21;DR10;PAY4;SR22;
MG23;DR40;PC12;S208;
MG25;DV2;PC7;TB20;
MG29;DV20;PC9;TB30;
MIR2;D140;P180;;
MRF1;D150;P3;;
PC24;D28D;SB20;;
RFAL;D31;SF34;;
SBR1;ECHO;SH36;;
SBR2;EC20;SLK3;;
SB35;EC25;STAR;;
SB39;EC30;SU26;;
TOR;EC35;SW2;;
U2;EC45;SW3;;
WW24;EC55;SW4;;
;EV97;TBM7;;
;E200;TBM8;;
;FA04;TBM9;;
;FA24;TEX2;;
;FDCT;TUCA;;
;FK14;V22;;
;FK9;;;
;GLST;;;
;GOLF;;;
;GRIZ;;;
;GY80;;;
;G109;;;
;G2CA;;;
;HRNT;;;
;HR10;;;
;HR20;;;
;H269;;;
;H47;;;
;H500;;;
;H53;;;
;H60;;;
;I11B;;;
;J3;;;
;KL07;;;
;LGEZ;;;
;MCR1;;;
;MCR4;;;
;MD52;;;
;MI8;;;
;MR35;;;
;MX1T;;;
;M2;;;
;M20P;;;
;M7;;;
;NH90;;;
;NNJA;;;
;PA11;;;
;PA12;;;
;PA14;;;
;PA16;;;
;PA18;;;
;PA20;;;
;PA22;;;
;PA25;;;
;PA32;;;
;PA36;;;
;PA38;;;
;PA44;;;
;PC6P;;;
;PC6T;;;
;PILL;;;
;PNR3;;;
;PRXT;;;
;PZ06;;;
;P06T;;;
;P28A;;;
;P28B;;;
;RALL;;;
;RANG;;;
;RBEL;;;
;RF6;;;
;RV4;;;
;RV9;;;
;R100;;;
;R200;;;
;R22;;;
;R44;;;
;SD4;;;
;SF25;;;
;SF28;;;
;SHRK;;;
;SIRA;;;
;SNTA;;;
;SONX;;;
;SORA;;;
;SR01;;;
;SR20;;;
;ST10;;;
;ST75;;;
;SW18;;;
;S10;;;
;S10S;;;
;S330;;;
;S360;;;
;S61;;;
;S61R;;;
;S76;;;
;TAMP;;;
;TEXA;;;
;TIGR;;;
;TL20;;;
;TOBA;;;
;TRIS;;;
;T10;;;
;UH1;;;
;VL3;;;
;WSP;;;
;WT9;;;
;W3;;;
;ZEP2;;;
;Z50;;;
